torso_geom,thigh_right_geom,leg_right_geom,foot_right_geom,thigh_left_geom,leg_left_geom,foot_left_geom
1.04488868, 1.04809575, 1.04948004, 0.97225236, 0.95586987, 0.95789516, 1.02780261
1.02835256, 1.04557456, 1.04853118, 0.99757571, 0.95332708, 0.95683085, 1.03297991
1.02714985, 1.04997176, 1.04927015, 0.9837521,  0.9511301 , 0.96954632, 0.96176175
1.03955923, 1.04830454, 1.04825923, 1.00129544, 0.95799621, 0.96991204, 0.96807198
1.02816744, 1.04540274, 1.04922963, 1.00127055, 0.95384973, 0.9534322 ,0.97152155
1.02754506, 1.04819722, 1.04925441, 0.99055599, 0.95693257, 0.96328784, 1.03272491
1.04135067, 1.04521086, 1.04879915, 0.98892186, 0.95397168, 0.95874289, 0.97181053
1.02850583, 1.04507677, 1.04839391, 0.99401583, 0.95264276, 0.95273461, 1.0330283 
1.03716332, 1.04829763, 1.04955785, 0.98674161, 0.95792766, 0.96778686, 0.98688489
1.02326573, 1.04531667, 1.04909909, 1.00800785, 0.95255899, 0.96436608, 0.97694322
1.0480641 , 1.04375865, 1.04444623, 0.99264687, 0.95072126, 0.9546146 ,1.01826848
0.98931958, 1.04299223, 1.04715979, 0.99345075, 0.95707758, 0.95653035, 1.03204521
0.99014664, 1.03971408, 1.04712686, 1.00768912, 0.95298086, 0.96116843, 0.95071326
1.01714158, 1.04425094, 1.04903993, 0.9974824 , 0.95641664, 0.95378505, 1.02960203
